ID,deal_title,deal_stage,year,month,day,deal_amount,currency,investor,is_lead,target,target_hq_city,target_hq_country,target_hq_state,target_url,target_year_founded,privco_pics_ids,mapped_profile_id,mapped_profile_type,mapped_profile_name,mapped_url,mapping_match_strength,mapping_review,text_url
1749,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,Oaktree Capital Management,1,Coriant,Naperville,United States,Illinois,www.coriant.com,2013,"[1501525, 1500220, 1500, 900323, 1501315]",306062,company,Coriant GmbH & Co. KG,coriant.com,yes,,http://www.businesswire.com/news/home/20170615005331/en/Coriant-Announces-Strategic-Investment-Oaktree
1749,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,Marlin Equity Partners,0,Coriant,Naperville,United States,Illinois,www.coriant.com,2013,"[1501525, 1500220, 1500, 900323, 1501315]",306062,company,Coriant GmbH & Co. KG,coriant.com,yes,,http://www.businesswire.com/news/home/20170615005331/en/Coriant-Announces-Strategic-Investment-Oaktree
1750,equity funding,Series A & B Startups,2017,6,15,8000000,USD,NeoTribe,1,Fortanix,Mountain View,United States,California,www.fortanix.com,,"[1501307, 1500, 1501525, 1501308]",1118813,,,,,,https://www.pehub.com/2017/06/fortanix-bags-8-mln-series-a/
1750,equity funding,Series A & B Startups,2017,6,15,8000000,USD,Foundation Capital,1,Fortanix,Mountain View,United States,California,www.fortanix.com,,"[1501307, 1500, 1501525, 1501308]",1118813,,,,,,https://www.pehub.com/2017/06/fortanix-bags-8-mln-series-a/
1751,equity funding,Series A & B Startups,2017,6,15,2500000,USD,Hyderabad Angels,1,ZineOne Inc,Milpitas,United States,California,www.zineone.com,,"[1501547, 1501502, 1500, 1501509, 1501530, 15015, 1501541]",1118814,,,,,,https://www.pehub.com/2017/06/zineone-rallies-2-5-mln/
1751,equity funding,Series A & B Startups,2017,6,15,2500000,USD,Golden Seeds,1,ZineOne Inc,Milpitas,United States,California,www.zineone.com,,"[1501547, 1501502, 1500, 1501509, 1501530, 15015, 1501541]",1118814,,,,,,https://www.pehub.com/2017/06/zineone-rallies-2-5-mln/
1752,equity funding,Post-Revenue Seed Startups,2017,6,16,2000000,USD,Khosla Ventures,1,Codota,Tel Aviv,Israel,Tel Aviv,www.codota.com,,"[900324, 1501502, 1500]",1118815,,,,,,https://www.pehub.com/2017/06/israeli-coding-startup-codota-reels-in-2-mln-seed/
1753,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,HIG Capital Management,1,Trace3,Irvine,United States,California,trace3.com,,"[1500201, 1501525, 1500]",7521,company,Trace3 Inc.,trace3.com,yes,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#3
1754,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,New Ground Ventures,0,Biena Snacks,Boston,United States,Massachusetts,https://bienafoods.com,,"[401115, 4011, 4004, 400]",1118816,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#2
1754,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,Centerman Capital,0,Biena Snacks,Boston,United States,Massachusetts,https://bienafoods.com,,"[401115, 4011, 4004, 400]",1118816,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#2
1754,equity funding,Non-Startup Growth Companies,2017,6,15,,USD,Blueberry Ventures,0,Biena Snacks,Boston,United States,Massachusetts,https://bienafoods.com,,"[401115, 4011, 4004, 400]",1118816,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#2
1755,equity funding,Series C & Later Startups,2017,6,15,22000000,USD,Laurent Alexandre,0,Rythm,San Francisco,United States,California,https://dreem.com/,,"[799999, 700402, 402204, 400, 4008, 1500, 700323]",464175,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#1
1755,equity funding,Series C & Later Startups,2017,6,15,22000000,USD,Xavier Niel,0,Rythm,San Francisco,United States,California,https://dreem.com/,,"[799999, 700402, 402204, 400, 4008, 1500, 700323]",464175,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#1
1755,equity funding,Series C & Later Startups,2017,6,15,22000000,USD,MAIF Avenir,1,Rythm,San Francisco,United States,California,https://dreem.com/,,"[799999, 700402, 402204, 400, 4008, 1500, 700323]",464175,,,,,,http://fortune.com/2017/06/15/term-sheet-thursday-june-15/#1
1756,equity funding,Series A & B Startups,2017,6,15,7500000,USD,John Zhang,0,Ocugen,Wayne,United States,Pennsylvania,ocugen.com,,"[1500105, 7008, 15001, 700701, 700]",1101373,company,"Ocugen, Inc.",ocugen.com,yes,,http://www.finsmes.com/2017/06/ocugen-closes-7-5m-series-b-funding.html
1756,equity funding,Series A & B Startups,2017,6,15,7500000,USD,Frank Leo,0,Ocugen,Wayne,United States,Pennsylvania,ocugen.com,,"[1500105, 7008, 15001, 700701, 700]",1101373,company,"Ocugen, Inc.",ocugen.com,yes,,http://www.finsmes.com/2017/06/ocugen-closes-7-5m-series-b-funding.html
1756,equity funding,Series A & B Startups,2017,6,15,7500000,USD,Abdi Ibrahim,1,Ocugen,Wayne,United States,Pennsylvania,ocugen.com,,"[1500105, 7008, 15001, 700701, 700]",1101373,company,"Ocugen, Inc.",ocugen.com,yes,,http://www.finsmes.com/2017/06/ocugen-closes-7-5m-series-b-funding.html
1756,equity funding,Series A & B Startups,2017,6,15,7500000,USD,JSC Lancaster Group,1,Ocugen,Wayne,United States,Pennsylvania,ocugen.com,,"[1500105, 7008, 15001, 700701, 700]",1101373,company,"Ocugen, Inc.",ocugen.com,yes,,http://www.finsmes.com/2017/06/ocugen-closes-7-5m-series-b-funding.html
